author,date,headlines,read_more,text
Ankush Verma,"29 Apr 2018,Sunday",North Korea to unify time zone with South Korea,https://www.hindustantimes.com/world-news/north-korea-to-rejoin-south-s-time-zone-in-conciliatory-gesture/story-KkpyED0L35KlnelThqkBHO.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"North Korean leader Kim Jong-un has said he would move the country's clocks 30 minutes forward to unify with South Korea's time zone. During his South Korea visit, Jong-un said he found it ""heartbreaking"" to see two wall clocks hanging in the summit room showing different times. North Korea had put back its clocks by 30 minutes in 2015."
Dishant Sharma,"29 Apr 2018,Sunday",Aus honours white athlete involved in 'Black Power' salute,https://www.hindustantimes.com/other-sports/australia-honours-black-power-hero-peter-norman-with-olympics-award/story-1XVXBOqKHQyrAxSXlKCEzI.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"Australia posthumously honoured Peter Norman, the sole white sprinter standing in solidarity at the podium during the silent 'Black Power' salute civil rights protest by African-American athletes at the 1968 Mexico Olympics. The Aussie sprinter supported the protest by US' Tommie Smith and John Carlos by wearing a human rights badge, leading to being frozen out of future Olympics selection."
Dishant Sharma,"29 Apr 2018,Sunday",78-yr-old golf legend uses unproven £30 therapy to cure pain,http://www.dailymail.co.uk/news/article-5667021/Stem-cells-cured-agony-says-golfing-legend-Jack-Nicklaus-undergoes-treatment.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"Golfing legend Jack Nicklaus, who has won record 18 Majors, used a £30 experimental stem cell therapy to cure his decades-long back pain, allowing him to return to golf. The 78-year-old, who tried various procedures to tackle his pain, has taken over 10,000 swings in his golfing career. ""I can now stand for as long as I want"", Nicklaus said."
Dishant Sharma,"29 Apr 2018,Sunday","Highest-ever 50-over total of 496/4 had 320 runs as 4s, 6s",https://www.theguardian.com/sport/2007/apr/30/cricket.sport1?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"The highest-ever score in professional limited-overs cricket of 496/4, scored by Surrey on April 29, 2007, featured 320 runs scored in boundaries. The innings, which saw 22 sixes and 47 fours, witnessed an opening stand of 294 runs with Ali Brown scoring a 97-ball 176. Notably, Surrey's second-highest score of 438/5 also featured Ali top scoring with a 160-ball 268."
Shifa Naseer,"29 Apr 2018,Sunday",Facebook to reduce size of posts featuring fake news,https://www.engadget.com/2018/04/28/facebook-shrinks-fake-news-links/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"In its attempt to fight fake news, Facebook has said it will reduce the size of the posts which feature fake news in News Feed. ""We reduce the visual prominence of feed stories that are fact-checked false,"" a Facebook spokesperson said. The company will also display fact-checked links in the 'Related Articles' box contradicting the original link."
Shifa Naseer,"29 Apr 2018,Sunday",Smartwatch which turns user's skin into touchscreen made,https://www.theverge.com/circuitbreaker/2018/4/27/17289572/lumiwatch-projector-smartwatch-arm-touch-screen?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"Carnegie Mellon University researchers have unveiled a prototype projector smartwatch called LumiWatch which turns a user's skin into a touchscreen. Users can operate the watch by swiping left to unlock and tapping on the apps which are displayed on their arm. The LumiWatch features a 768 MB RAM, 4 GB flash memory along with Bluetooth and WiFi."
Niharika Prabhakar,"29 Apr 2018,Sunday",₹1L cr to make Bengaluru India's 2nd capital: Cong manifesto,https://www.thenewsminute.com/article/rs-1-lakh-crore-develop-bengaluru-india-s-second-capital-cong-manifesto-80365?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"The Congress' manifesto for the upcoming Karnataka Assembly elections promises to provide ₹1 lakh crore to make the city of Bengaluru eligible for consideration as the second capital city of India. The money will be spent on building more flyovers and executing road-widening exercises, the manifesto added. Other promises included ending manual scavenging and the construction of advanced drainage. "
Radhika Chugh,"29 Apr 2018,Sunday",Order barring free rice to dirty Puducherry villages revoked,https://twitter.com/thekiranbedi/status/990265773900869632?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"Hours after issuing an order blocking distribution of free rice to Puducherry villages which have garbage and witness open defecation, L-G Kiran Bedi has withdrawn the directive. She added that her intention to improve the living conditions of rural poor had been ""misread"". CM V Narayanasamy had termed the order ""unconstitutional"", adding that Bedi was meddling with people's fundamental rights."
Radhika Chugh,"29 Apr 2018,Sunday",Stop using horses on Vaishno Devi route: Maneka to J&K govt,https://www.indiatoday.in/india/story/stop-use-of-mules-ponies-in-vaishno-devi-route-maneka-gandhi-to-mehbooba-mufti-1222384-2018-04-28?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"Union Women and Child Development Minister Maneka Gandhi has urged the Jammu and Kashmir government to stop the use of mules and horses to ferry people on the Vaishno Devi route. Adding that the animals expose people to a highly contagious incurable disease called 'glanders', she said it's very difficult to provide veterinary treatment due to terrain and staff shortages."
Niharika Prabhakar,"29 Apr 2018,Sunday",64-year-old doctor arrested for secretly filming patients,http://www.newindianexpress.com/cities/chennai/2018/apr/28/alert-hubby-nabs-chennai-doctor-for-shooting-womans-video-1807351.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"M Sivagurunathan, a 64-year-old doctor in Chennai's Mylapore, was arrested after he was caught secretly videotaping a patient in his clinic. The doctor had asked the woman to undress and kept his phone secretly on the table to videotape her, the woman's husband said. The police later found over 30 videos of women shot without their consent on Sivagurunathan's phone."
Bulbul Dhawan,"29 Apr 2018,Sunday",Indian Railways reports highest revenue growth in 3 years,https://www.hindustantimes.com/india-news/railways-posts-highest-revenue-growth-in-three-years/story-mbUEZQp7qyuB8B8EhAVDMK.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"The Indian Railways has reported the highest revenue growth in three years after its revenue increased by 5.1% in 2017-18. The state-run transporter reported earnings worth ₹48,642.68 crore in the year, recording an increase of ₹2,362.23 crore from 2016-17. The additional revenue was generated by running special trains and not due to a fare hike, a railway board member said."
Ankush Verma,"29 Apr 2018,Sunday","Pak announces ₹64,000 cr defence budget, 1/5th that of India",https://www.hindustantimes.com/world-news/pakistan-govt-presents-rs-5-6-trillion-budget-hikes-defence-spending-by-10/story-WI6V5l2zhh4NzHMlAuYhQJ.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"Pakistan Finance Minister Miftah Ismail on Friday allocated $9.6 billion (nearly ₹64,000 crore) for defence in the 2018-19 fiscal, which is 1/5th as compared to India's $45-billion defence budget. Pakistan's allocation, which represents the highest growth in the defence budget in more than a decade, does not include the military pension bill and the spending on major weapons procurement."
Ankush Verma,"29 Apr 2018,Sunday",Kid asks White House Press Secy to justify strikes on Syria,https://www.rt.com/usa/425311-children-whitehouse-press-syria/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"During a mock White House briefing earlier this week, a kid asked Press Secretary Sarah Sanders to justify air strikes carried out by the US on Syria. ""Why did our country bomb another country?"" the kid asked, adding that she came up with the question all by herself. Sanders replied to the question saying, ""Man, this is a tough crowd."""
Ankush Verma,"29 Apr 2018,Sunday",Crowd chants 'Nobel' at Trump rally over N Korea talks,https://www.youtube.com/watch?v=LhXKFfJ7UhI&utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"During a rally in Michigan on Saturday, US President Donald Trump was met with chants suggesting he be given the Nobel Peace Prize, as he discussed possible talks with North Korea. ""That's very nice, thank you...I just want to get the job done,"" Trump responded. Trump is expected to meet North Korean leader Kim Jong-un in May or early June."
Mriganka Sen,"29 Apr 2018,Sunday",President Xi wants more B'wood films in China: Foreign Secy,https://www.indiatoday.in/pti-feed/story/xi-wants-screening-of-more-bollywood-movies-in-china-1222305-2018-04-28?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"Foreign Secretary Vijay Gokhale has said that Chinese President Xi Jinping revealed he had seen a number of Indian films, both Bollywood and regional. Xi said this during the two-day informal summit with PM Narendra Modi, added Gokhale. He further said that Jinping thought it would be a good idea if more Indian films come to China and vice-versa."
Dishant Sharma,"29 Apr 2018,Sunday",Gareth Bale scores as Ronaldo-less Real Madrid win 2-1,https://www.youtube.com/watch?v=KICgZh4s9uM&feature=onebox&utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"Real Madrid's Gareth Bale scored with a seventh-minute strike as a Cristiano Ronaldo-less Real Madrid got past Leganés with a 2-1 win on Saturday. Real's second goal came from 21-year-old midfielder Borja Mayoral near the end of the first half, while they conceded one through Darko Brašanac in the 65th minute. Leganés saw a player sent off for dissent."
Anmol Sharma,"29 Apr 2018,Sunday",Gambhir lost chance to become legend in 2011: Ex-selector,https://www.thequint.com/sports/cricket/gautam-gambhir-2011-england-tour-injury-attitude-problem?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"Ex-chief selector Sandeep Patil has said Gautam Gambhir's decision to return to India from England tour in 2011 due to concussion cost him the chance to become a legend of Indian cricket. Patil added his injury wasn't serious and he could've continued. ""Gambhir tried his best to establish his place again, but failed in all his attempts,"" he further said."
Dishant Sharma,"29 Apr 2018,Sunday","98-year-old sets record, wins 3 events at Elderly Games",https://www.theguardian.com/world/gallery/2018/apr/26/thailand-elderly-games-in-pictures?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"Thailand's 98-year-old Sawang Janpram won the 100m sprint, won the discus throw event and set an age-category javelin throw record at the first ever national Elderly Games held in Thailand. The event, which aims to promote an active lifestyle among the elderly, saw over 1,000 athletes across seven days. The events included football, body-building, and ballroom dancing among others."
Anmol Sharma,"29 Apr 2018,Sunday",Gambhir angry young man of Indian cricket: Former selector,https://www.thequint.com/sports/cricket/gautam-gambhir-2011-england-tour-injury-attitude-problem?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"Ex-chief selector Sandeep Patil has said he nicknamed Gautam Gambhir as Amitabh Bachchan of Indian cricket due to his 'angry young man' attitude. ""It was because of his attitude...he got into Indian team, but the same attitude was also the reason (of his drop),"" Patil added. Patil further said Gambhir showed his attitude to own teammates which had negative impact."
Dishant Sharma,"29 Apr 2018,Sunday","Playing ODIs, T20Is before Tests will help in Eng: Zaheer",https://www.indiatoday.in/sports/story/playing-odis-t20is-before-tests-will-help-india-in-england-zaheer-khan-1222425-2018-04-28?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"Ahead of India's tour of England, former Indian pacer Zaheer Khan said India will get acclimatised to the English conditions by playing ODIs and T20Is before Tests. India lost their last Test series in England 1-3. Talking about county stints for preparation, Zaheer said it is a player's decision as not every team member needs county exposure."
Bulbul Dhawan,"29 Apr 2018,Sunday",Don't run after politicians for government jobs: Tripura CM,https://www.aninews.in/news/national/general-news/get-self-employed-instead-of-running-after-politicians-for-govt-jobs-tripura-cm-to-youth201804290403460002/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"Addressing the youth in Tripura on Saturday, Chief Minister Biplab Deb said the youth should choose self-employment instead of running after politicians for government jobs. ""The youth here runs after political parties...had the same youth instead of running after parties set up a paan shop he would have by now had a bank balance of ₹5 lakhs,"" he said."
Niharika Prabhakar,"29 Apr 2018,Sunday",Two Nationalist Congress Party members shot dead in Maha,https://www.aninews.in/news/national/general-news/2-ncp-members-shot-dead-in-maharashtra201804290934360001/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"Two members of the Nationalist Congress Party (NCP) on Sunday were shot dead by unidentified assailants in Maharashtra's Ahmednagar district. The two had been sitting at a tea stall when the bike-borne assailants shot them with a country-made firearm, according to reports. They were rushed to the Ahmednagar hospital, where they were declared brought dead."
Bulbul Dhawan,"29 Apr 2018,Sunday",MP to treat gurukuls equivalent to mainstream schools,https://www.aninews.in/news/national/general-news/mp-will-register-gurukuls-treat-them-equivalent-to-mainstream-schools-shivraj201804290707070002/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"Madhya Pradesh will register the gurukuls in the state and treat them equivalent to mainstream schools, Chief Minister Shivraj Singh Chouhan said on Saturday. Speaking at the inauguration of the three-day Virat Gurukul Sammelan in Ujjain, he added, ""Every district will promote the gurukul system and the government will help trusts to open new gurukuls."""
Ankush Verma,"29 Apr 2018,Sunday",Couple caught having sex chased naked by police in UK,https://www.rt.com/uk/425293-sex-salisbury-police-skripal/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"A couple caught having sex in a field in Salisbury, UK was chased naked by the police. However, the man and the woman were later located and called for an interview by police officials over the act. Urging people to ""behave this summer"", a police officer tweeted, ""There's something in the air...something that shouldn't be seen in public!"""
Nandini Sinha,"29 Apr 2018,Sunday",Russia town plans to copyright name of poison used on ex-spy,https://www.rt.com/politics/425312-russian-town-novichok-patent/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"Russia's Shikhany town plans to copyright the word 'Novichok', the type of nerve agent allegedly used to poison former spy Sergei Skripal in the UK. Shikhany plans to copyright the word as a brand name for a line of household cleaning products, the town's Mayor Andrey Tatarinov said. British media had claimed that the nerve agent was produced in Shikhany."
Niharika Prabhakar,"29 Apr 2018,Sunday",Sikkim Chief Minister becomes India's longest-serving CM,https://www.hindustantimes.com/india-news/pawan-chamling-surpasses-jyoti-basu-as-india-s-longest-serving-chief-minister/story-Gpjc5wOjX8Qz7D9jkV8eaM.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"Sikkim Chief Minister Pawan Chamling on Sunday became the longest-serving Chief Minister in India, surpassing the record of Jyoti Basu, who served as West Bengal CM from 1977 to 2000. Chamling became the Chief Minister in December 1994 and belongs to the Sikkim Democratic Front. ""I dedicate this landmark...to my most beloved people of Sikkim,"" he said."
Radhika Chugh,"28 Apr 2018,Saturday",Civil engineers more suited for civil services: Tripura CM,http://www.india.com/news/india/tripura-cm-biplab-deb-statement-civil-engineers-better-suited-for-civil-services-than-mechanical-engineers-attracts-another-controversy-3026017/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"Addressing an event in Agartala on Friday, Tripura CM Biplab Deb said, ""After pursuing mechanical engineering, one should not go for Civil Services. Instead, civil engineers should join Civil Services."" He added that civil engineers can help with construction projects, unlike mechanical engineers. He further said civil engineers have the ""knowledge and experience"" to build the society."
Ankush Verma,"29 Apr 2018,Sunday",N Korea promises to close nuke test site in May: S Korea,https://www.rt.com/news/425441-north-korea-close-nuke-sites/?utm_source=browser&utm_medium=push_notifications&utm_campaign=push_notifications&utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"South Korea has said the North has promised to close its nuclear test site next month. North Korea will also give South Korean and US experts and the media access to the process, it added. This comes after a historic meeting between North Korean leader Kim Jong-un and South Korean President Moon Jae-in on Friday. "
Dishant Sharma,"29 Apr 2018,Sunday",Same town has produced 3 WC final Man of the Match winners,https://www.cricket.com.au/players/james-faulkner/QTk_fFQkQ0GI94lCEj3n-w?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"The Australian town of Launceston in Tasmania has produced three World Cup final Man of the Match winners– David Boon, Ricky Ponting, and James Faulkner. Faulkner, who is celebrating his 28th birthday today, was the Man of the Match in 2015 World Cup final. Notably, Ponting had won the Man of the Match in 2003 World Cup final against India."
Anmol Sharma,"29 Apr 2018,Sunday",Nadal wins 44th straight set on clay to win 400th clay match,https://www.atpworldtour.com/en/news/nadal-400-clay-court-match-wins-tribute?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"World number one and 16-time Grand Slam champion Rafael Nadal on Saturday won his 44th consecutive set on clay and registered his 400th win on the surface. Nadal achieved the feat by defeating world number 10 David Goffin 6-4, 6-0 in the Barcelona Open semi-final. The 31-year-old is the fourth man to win 400 matches on clay."
Anmol Sharma,"28 Apr 2018,Saturday",Sachin Tendulkar's son Arjun attends NCA camp at Dharamshala,https://www.youtube.com/watch?v=diMshIjIHg8&utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,Sachin Tendulkar's son Arjun is among 25 under-19 players attending a one-month camp organised by the National Cricket Academy in Dharamshala. The camp had started on April 18 at the Himachal Pradesh Cricket Association Stadium and Sachin will reportedly visit his son on May 1. All the players are putting up inside the stadium and aren't allowed to move out.
Radhika Chugh,"28 Apr 2018,Saturday",Family claims rat bit coma patient's eye at Mumbai hospital,http://www.timesnownews.com/india/article/mumbai-hospital-horror-rat-bites-comatose-patient-s-eye-hospital-denies-charges-claims-conspiracy/222171?utm_source=pushengage&utm_medium=push_notification&utm_campaign=pushengage&utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"The family of a 27-year-old patient, who has been in a coma for almost two months, has alleged that a rat nibbled on his right eye in a government-run hospital in Mumbai's Jogeshwari. The family claimed that doctors asked them to purchase tetanus injections. Authorities admitted that the hospital was infested with rats but dismissed the family's allegations."
Radhika Chugh,"29 Apr 2018,Sunday",Govt proposes making child sexual abuse law gender-neutral,http://www.india.com/news/india/centre-proposes-amendment-of-pocso-act-to-make-it-gender-neutral-3025846/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"The government is preparing a draft Cabinet Note to amend the Protection of Children from Sexual Offences (POCSO) Act and make it gender-neutral, Women and Child Development Ministry said. It has also proposed making death sentence for raping minors gender-neutral. This comes after President Ram Nath Kovind passed the ordinance providing death penalty for raping minor girls."
Nandini Sinha,"29 Apr 2018,Sunday",Thousands flee due to clashes in Myanmar's Kachin State: UN,https://www.reuters.com/article/us-myanmar-military/myanmar-rebels-say-clashes-with-government-could-displace-more-people-idUSKBN1HY0S6?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"Nearly 4,000 people have fled Myanmar's Kachin State in the last three weeks as fresh clashes erupted between the Army and ethnic Kachin rebels, UN's Office for the Coordination of Humanitarian Affairs said. The Myanmar Army's crackdown on the Rohingya militants in the Rakhine State last year caused the exodus of around seven lakh Rohingya refugees to Bangladesh."
Nandini Sinha,"29 Apr 2018,Sunday","Zimbabwe legalises cannabis for medicinal, scientific use",http://www.newindianexpress.com/world/2018/apr/28/zimbabwe-legalises-cannabis-for-medical-scientific-use-1807596.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"Zimbabwe has become the second African nation to legalise the production of cannabis for medicinal or scientific purposes. Individual producers must be citizens of the country whose activities will be subject to routine audits by the Health Ministry. Prior to its legalisation, production or possession of cannabis in Zimbabwe was punishable by up to 12 years in prison."
Manaya Bagga,"28 Apr 2018,Saturday",Ex-HSBC Bank foreign exchange exec gets 2 years in prison,https://uk.reuters.com/article/uk-hsbc-usa-crime/ex-hsbc-executive-sentenced-to-two-years-for-foreign-exchange-scheme-idUKKBN1HX31B?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"Mark Johnson, the former head of HSBC Bank's foreign exchange cash trading, has been sentenced to two years in prison for misusing confidential information provided by a client to generate ""profits for HSBC and enrich himself"". Mark was found guilty of defrauding Cairn Energy in a $3.5-billion currency trade in 2011. He was also ordered to pay fine of $300,000."
Mriganka Sen,"28 Apr 2018,Saturday","Ranveer, Deepika to have int'l destination wedding: Reports",https://www.indiatoday.in/movies/celebrities/story/ranveer-deepika-to-have-private-international-destination-wedding-reports-1222389-2018-04-28?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"As per reports, Ranveer Singh and Deepika Padukone will be having a private international destination wedding by the end of this year. The families have reportedly hired a wedding planner, to help them decide on the location.The ceremony will be private with only family and close friends as both the actors are very private, said reports. "
Deepshikha Yadav,"28 Apr 2018,Saturday",No artist who can lip sync as perfectly as Rishi: Big B,http://www.bollywoodhungama.com/news/features/fortunate-enough-working-rishi-kapoor-102-not-amitabh-bachchan/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"While praising actor Rishi Kapoor, Amitabh Bachchan said, ""I am yet to come across an artist who can lip sync as perfectly as Rishi ji."" Amitabh added, ""He doesn't just lip sync but syncs the expressions on his face!"" ""I noticed the same temperament in his son Ranbir Kapoor of whom I'm a great fan,"" Big B further said.nn "
Anmol Sharma,"28 Apr 2018,Saturday",This season of IPL is something else: Amitabh Bachchan,http://www.cricketcountry.com/news/ipl-2018-amitabh-bachchan-thrilled-by-quality-of-cricket-in-league-706434?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"Talking about the ongoing season of the IPL, Bollywood actor Amitabh Bachchan tweeted, ""[It] has to be said...this season of the IPL is something else...a revelation...what games...what incredibly exciting results...almost every game a tense last over finish."" Amitabh's tweet came after the RCB-CSK and SRH-KXIP matches. CSK had chased down a 206-run target while SRH defended 132 runs against KXIP."
Mriganka Sen,"28 Apr 2018,Saturday",Daughter shares video denying rumours of Mumtaaz's death ,https://www.instagram.com/p/BiHCFquhH5t/?taken-by=tanyamadhvani&utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"Denying rumours of veteran actress Mumtaaz's death, her daughter Tanya Madhvani shared an Instagram video where she said that her mother is in Rome and is doing well. ""My mother doing well enjoining rome today. Happy and healthy (sic),"" she wrote while sharing a picture with the actress. This comes amid the several rumours of the actress' death. "
Deepshikha Yadav,"28 Apr 2018,Saturday",Janhvi to dance on Sridevi songs at Sonam's sangeet: Reports,http://www.timesnownews.com/entertainment/news/bollywood-news/article/janhvi-kapoor-will-dance-to-sridevis-songs-at-sonam-kapoor-anand-ahujas-wedding-sangeet-report/221570?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"Janhvi Kapoor will reportedly perform on late actress and her mother Sridevi's songs at her cousin and actress Sonam Kapoor's wedding sangeet. As per reports, she will perform on songs like 'Mere Haathon Mein Nau Nau Chudiyan', 'Kisi Ke Haath Na Aaegi Ye Ladki'. Sonam will reportedly get married to her rumoured boyfriend Anand Ahuja on May 8."
Anmol Sharma,"28 Apr 2018,Saturday",MS Dhoni becomes first player to captain in 150 IPL matches,https://www.iplt20.com/match/2018/27?tab=scorecard&utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"MS Dhoni has become the first-ever player to captain in 150 Indian Premier League matches, achieving the feat after taking the field for Chennai Super Kings against Mumbai Indians on Saturday. Dhoni has won 88 of his first 149 matches as captain and has the best winning %age (59.45) among IPL captains who have led their teams in 30-plus matches."
Anmol Sharma,"29 Apr 2018,Sunday",Defending champs MI end CSK's three-match winning streak,https://www.iplt20.com/match/2018/27?tab=scorecard&utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,Defending champions Mumbai Indians ended table-toppers Chennai Super Kings' three-match winning streak on Saturday by registering their second win of the IPL 2018. Rohit Sharma slammed his 34th IPL fifty and is now only behind Gautam Gambhir (36) and David Warner (36) on the list of batsmen with most IPL fifties. MI are now sixth on the IPL points table.
Anmol Sharma,"28 Apr 2018,Saturday",Pollard misses a match for MI for 1st time after 2 years,https://www.iplt20.com/match/2018/27?tab=scorecard&utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"Kieron Pollard, who has been dropped from the playing XI against Chennai Super Kings today, is missing a match for Mumbai Indians for the first time in two years. The last time Mumbai Indians played a match without Pollard was against SunRisers Hyderabad on April 18, 2016, which they lost. Pollard has scored 63 runs in six matches this season."
Anmol Sharma,"29 Apr 2018,Sunday",Gambhir angry with me even today: Selector who dropped him,https://www.thequint.com/sports/cricket/gautam-gambhir-2011-england-tour-injury-attitude-problem?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"Former chief selector Sandeep Patil has said that Gautam Gambhir ended their friendship after he replaced him with Shikhar Dhawan in Team India in 2013. ""He hardly smiled whenever we met and he seems angry with me even today,"" Patil added. Patil further said Gambhir failed to make a proper comeback to the team due to his ""ever-growing attitude problem""."
Anmol Sharma,"28 Apr 2018,Saturday",County calls keeper 'Cricket's De Gea' over reflex catch,http://www.cricketcountry.com/news/watch-tom-moores-catches-that-impressed-this-manchester-united-star-706562?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"The official Twitter account of the County Championship shared a video of Nottinghamshire wicketkeeper Tom Moores taking a reflex catch and compared him to Manchester United goalkeeper David de Gea. ""There's reactions... and then there's *REACTIONS*...Tom Moores = cricket's David de Gea,"" the video was captioned. De Gea replied to the video with an emoji of clapping hands."
Dishant Sharma,"29 Apr 2018,Sunday",Ex-India women's team captain declines BCCI lifetime award,https://www.hindustantimes.com/cricket/diana-edulji-ex-india-women-s-cricket-skipper-declines-top-bcci-award/story-70sOWOaiM6WFG3MtBUNIQK.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"Former Indian women's cricket team captain Diana Edulji has declined BCCI's CK Nayudu Lifetime Achievement Award as she is a member of the Supreme Court-appointed BCCI Committee of Administrators (CoA). ""I do not think it is appropriate for me to accept this honour at this juncture"", she said. Edulji played 20 Tests and 34 ODIs in her 17-year-long career."
Sanchita Jain,"29 Apr 2018,Sunday",Pune students go on hunger strike over discrimination,https://www.indiatoday.in/india/story/pune-varsity-students-go-on-hunger-strike-condemning-discrimination-and-mismanagement-1222130-2018-04-28?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"At least 30 students belonging to Savitribai Phule Pune University have been on a hunger strike since the past three days alleging discrimination on the basis of language. Students from an English-medium background are given preferential treatment, protesting students claimed. Students also demanded replacement of an English professor alleging that he was inexperienced and didn't teach anything."
Nandini Sinha,"28 Apr 2018,Saturday",4 military officials killed in al-Shabaab attack in Somalia,https://www.reuters.com/article/us-somalia-blast/suicide-bomber-kills-three-senior-military-officials-in-somalia-police-idUSKBN1HZ0CB?il=0&utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"At least four military officials were killed in Somalia on Saturday after a suicide bomber blew himself up in a military camp in Galkayo, officials said. Stating that eight people were injured, officials added the death toll may rise as some of the injured were in a critical condition. Al-Qaeda-linked al-Shabaab militant group claimed responsibility for the attack."
Nandini Sinha,"28 Apr 2018,Saturday",38 Houthi rebels killed in Saudi-led air strike in Yemen,https://www.aljazeera.com/news/2018/04/strike-kills-38-yemen-houtis-including-commanders-saudi-tv-180428070817220.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"As many as 38 Houthi rebels, including two commanders were killed in a Saudi-led coalition air strike on Friday, the Saudi state media reported. The strike targeted a Houthi interior ministry building. The Houthis on Saturday claimed to have launched eight ballistic missiles at ""economic and vital targets"" in Saudi's Jizan city in an apparent retaliation to the strike."
Manaya Bagga,"29 Apr 2018,Sunday",General Motors CEO earned compensation of $21.96 mn in 2017,https://www.reuters.com/article/us-general-motors-proxy/gm-ceo-barras-pay-dipped-slightly-to-22-million-in-2017-idUSKBN1HY2IG?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"General Motors CEO Mary Barra earned a compensation of $21.96 million in 2017, a decline of 2.8% from a year earlier. Barra remained the highest-paid executive of the company. Barra's pay package included a salary of $2.1 million, stock awards worth $10.74 million, options award worth $3.25 million and a performance award worth $4.96 million."
Manaya Bagga,"28 Apr 2018,Saturday",GST collection at ₹7.19 tn between August 2017-March 2018,https://www.aninews.in/news/business/business/gst-collection-at-rs719-lakh-crore-from-aug-17-amp-mar-18201804271533030001/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"The total revenue collection under GST stood at ₹7.19 trillion between August 2017 and March 2018, Finance Ministry has said. This included ₹1.19 trillion of Central GST, ₹1.72 trillion of State GST, ₹3.66 trillion of Integrated GST and ₹62,021 crore of cess. The average monthly GST collection stood at ₹89,885 crore during these eight months, it added."
